iter	Passed	Remaining
0	0	74
1	1	69
2	2	66
3	2	62
4	3	63
5	3	62
6	4	60
7	5	60
8	5	59
9	6	58
10	7	58
11	7	57
12	8	56
13	8	55
14	9	54
15	10	53
16	10	53
17	11	52
18	12	52
19	13	52
20	13	52
21	14	52
22	15	51
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	46
32	22	45
33	22	44
34	23	43
35	24	43
36	24	42
37	25	41
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	37	28
57	38	27
58	38	27
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
