iter	Passed	Remaining
0	125	125264
1	126	63157
2	127	42245
3	127	31798
4	128	25530
5	128	21340
6	129	18340
7	129	16090
8	130	14343
9	130	12942
10	131	11795
11	131	10837
12	132	10027
13	132	9331
14	132	8730
15	133	8204
16	133	7739
17	134	7325
18	134	6965
19	135	6644
20	136	6351
21	136	6080
22	137	5832
23	137	5601
24	138	5393
25	138	5201
26	139	5029
27	140	4872
28	141	4723
29	141	4579
30	142	4456
31	143	4327
32	143	4206
33	144	4092
34	144	3982
35	144	3879
36	145	3783
37	145	3691
38	146	3603
39	146	3519
40	147	3444
41	147	3372
42	148	3304
43	148	3235
44	149	3169
45	149	3107
46	150	3051
47	151	2998
48	151	2946
49	152	2894
50	153	2848
51	153	2803
52	154	2760
53	155	2715
54	155	2672
55	156	2630
56	156	2589
57	156	2549
58	157	2510
59	157	2473
60	158	2436
61	158	2401
62	159	2367
63	159	2334
64	160	2302
65	160	2271
66	160	2241
67	161	2212
68	161	2184
69	162	2158
70	162	2131
71	163	2105
72	163	2079
73	164	2054
74	164	2032
75	165	2010
76	165	1989
77	166	1968
78	167	1948
79	167	1928
80	168	1908
81	168	1891
82	169	1869
83	169	1851
84	170	1833
85	170	1814
86	171	1796
87	171	1779
88	172	1763
89	172	1747
90	173	1731
91	173	1715
92	174	1700
93	174	1684
94	175	1669
95	175	1654
96	176	1639
97	176	1625
98	177	1611
99	177	1597
100	178	1585
101	178	1572
102	179	1559
103	179	1547
104	180	1537
105	180	1526
106	181	1515
107	182	1503
108	182	1492
109	183	1482
110	184	1475
111	184	1465
112	185	1455
113	185	1444
114	186	1434
115	186	1423
116	187	1412
117	187	1402
118	188	1392
119	188	1382
120	188	1372
121	189	1362
122	189	1353
123	190	1344
124	190	1335
125	191	1327
126	191	1317
127	192	1309
128	192	1300
129	193	1291
130	193	1283
131	194	1275
132	194	1268
133	195	1261
134	195	1255
135	196	1248
136	197	1243
137	198	1237
138	198	1232
139	199	1225
140	200	1218
141	200	1210
142	200	1203
143	201	1197
144	201	1190
145	202	1183
146	202	1176
147	203	1169
148	203	1162
149	204	1156
150	204	1149
151	204	1143
152	205	1137
153	205	1130
154	206	1124
155	206	1118
156	207	1112
157	207	1106
158	208	1100
159	208	1094
160	208	1088
161	209	1082
162	209	1077
163	210	1073
164	211	1068
165	211	1064
166	212	1059
167	212	1054
168	213	1050
169	214	1046
170	214	1042
171	215	1037
172	215	1032
173	216	1027
174	216	1022
175	217	1017
176	217	1012
177	218	1007
178	218	1002
179	219	998
180	219	993
181	220	988
182	220	984
183	220	979
184	221	974
185	221	970
186	222	966
187	222	961
188	223	957
189	223	953
190	224	948
191	224	945
192	225	942
193	225	938
194	226	935
195	227	931
196	227	927
197	228	924
198	228	921
199	229	918
200	230	914
201	230	910
202	230	906
203	231	902
204	231	899
205	232	895
206	232	891
207	233	887
208	233	884
209	234	880
210	234	877
211	235	873
212	235	869
213	235	866
214	236	862
215	236	859
216	237	855
217	237	852
218	238	848
219	238	845
220	238	842
221	239	838
222	240	836
223	240	834
224	241	831
225	242	829
226	242	826
227	243	823
228	243	821
229	244	818
230	244	815
231	245	812
232	245	809
233	246	806
234	246	803
235	247	800
236	247	797
237	248	794
238	248	791
239	248	788
240	249	785
241	249	782
242	250	779
243	250	776
244	251	773
245	251	770
246	251	768
247	252	765
248	252	762
249	253	759
250	253	757
251	254	754
252	254	752
253	255	749
254	255	747
255	256	745
256	257	743
257	257	740
258	258	738
259	258	736
260	259	734
261	260	732
262	260	729
263	260	727
264	261	724
265	261	722
266	262	719
267	262	717
268	263	714
269	263	712
270	263	709
271	264	707
272	264	705
273	265	702
274	265	700
275	266	698
276	266	695
277	267	693
278	267	691
279	267	688
280	268	686
281	268	684
282	269	682
283	269	680
284	270	678
285	271	677
286	271	675
287	272	673
288	273	671
289	273	670
290	274	668
291	274	666
292	275	664
293	275	662
294	276	660
295	276	658
296	277	656
297	277	654
298	278	652
299	278	650
300	279	648
301	279	646
302	279	644
303	280	642
304	280	639
305	281	638
306	281	636
307	282	634
308	282	632
309	283	630
310	283	628
311	283	626
312	284	624
313	284	622
314	285	621
315	286	619
316	286	618
317	287	616
318	288	614
319	288	613
320	289	611
321	289	610
322	290	608
323	290	606
324	291	604
325	291	603
326	292	601
327	292	599
328	293	597
329	293	595
330	293	594
331	294	592
332	294	590
333	295	588
334	295	586
335	296	585
336	296	583
337	296	581
338	297	579
339	297	578
340	298	576
341	298	574
342	299	573
343	299	571
344	300	570
345	301	568
346	301	567
347	302	565
348	302	564
349	303	563
350	304	562
351	304	561
352	305	559
353	306	558
354	306	557
355	307	555
356	307	554
357	308	553
358	309	551
359	309	550
360	310	549
361	310	547
362	311	546
363	311	544
364	312	543
365	312	541
366	313	539
367	313	538
368	313	536
369	314	535
370	315	534
371	315	532
372	316	531
373	316	530
374	317	529
375	317	527
376	318	526
377	319	525
378	320	524
379	320	523
380	321	521
381	321	520
382	322	518
383	322	517
384	322	515
385	323	514
386	323	512
387	324	511
388	324	509
389	325	508
390	325	506
391	325	505
392	326	504
393	326	502
394	327	501
395	327	499
396	328	498
397	328	497
398	329	495
399	329	494
400	330	493
401	330	492
402	331	491
403	332	489
404	332	488
